id,user_id,transaction_detail,total_coins,coins,created_at,updated_at,category
291,94," Hey Friend, good you got 20 coins for the Twitter Profile",510,20,"2022-01-21 18:34:25","2022-01-21 18:34:25",te
292,43," Hey Friend, good you got 10 coins for the Git Hub Profile",165,10,"2022-01-21 22:40:33","2022-01-21 22:40:33",te
293,95," Hey Friend, good you got 20 coins for the Twitter Profile",55,20,"2022-01-22 00:19:35","2022-01-22 00:19:35",te
294,90,"You have earned 25 coins for sharing an update on Twitter.",625,25,"2022-01-22 00:31:55","2022-01-22 00:31:55",tw
295,92," Hey Friend, good you got 20 coins for the Twitter Profile",410,20,"2022-01-22 14:31:15","2022-01-22 14:31:15",te
296,93," Hey Friend, good you got 20 coins for the Twitter Profile",350,20,"2022-01-22 14:31:55","2022-01-22 14:31:55",te
297,43,"You lost 10 coins for the redo of Twitter Profile Tasks.",155,-10,"2022-01-22 22:46:20","2022-01-22 22:46:20",rd
298,43," Hey Friend, good you got 10 coins for the Twitter Profile",165,10,"2022-01-23 09:50:34","2022-01-23 09:50:34",te
299,88," Hey Friend, good you got 20 coins for the Twitter Profile",265,20,"2022-01-23 09:51:15","2022-01-23 09:51:15",te
300,102,"You have earned 20 coins for sharing an update on LinkedIn.",20,20,"2022-01-23 11:02:40","2022-01-23 11:02:40",li
301,32," Hey Friend, good you got 20 coins for the Twitter Profile",890,20,"2022-01-23 13:23:26","2022-01-23 13:23:26",te
302,51," Hey Friend, good you got 20 coins for the Twitter Profile",170,20,"2022-01-23 13:24:53","2022-01-23 13:24:53",te
303,85," Hey Friend, good you got 20 coins for the Twitter API & Node JS",430,20,"2022-01-23 15:49:09","2022-01-23 15:49:09",te
304,85," Hey Friend, good you got 40 coins for the Web API's",470,40,"2022-01-23 15:49:51","2022-01-23 15:49:51",te
305,85," Hey Friend, good you got 50 coins for the CSS - A Simple Project using Bootstrap",520,50,"2022-01-23 15:50:53","2022-01-23 15:50:53",te
306,93,"You have earned 30 coins for sharing an update on LinkedIn.",380,30,"2022-01-23 17:14:19","2022-01-23 17:14:19",li
307,32,"You have earned 30 coins for sharing an update on LinkedIn.",920,30,"2022-01-23 18:07:11","2022-01-23 18:07:11",li
308,32,"You have earned 25 coins for sharing an update on Twitter.",945,25,"2022-01-23 18:07:31","2022-01-23 18:07:31",tw
309,97,"You have earned 50 coins for sharing an update on Twitter.",220,50,"2022-01-23 22:08:47","2022-01-23 22:08:47",tw
310,96," Hey Friend, good you got 40 coins for the Twitter Profile",435,40,"2022-01-23 22:12:38","2022-01-23 22:12:38",te
311,41," Hey Friend, good you got 20 coins for the Twitter Profile",345,20,"2022-01-23 22:13:05","2022-01-23 22:13:05",te
312,75," Hey Friend, good you got 30 coins for the Twitter Profile",585,30,"2022-01-24 10:57:28","2022-01-24 10:57:28",te
313,90,"You have earned 25 coins for sharing an update on Twitter.",650,25,"2022-01-24 12:18:31","2022-01-24 12:18:31",tw
314,75,"You have earned 25 coins for sharing an update on Twitter.",610,25,"2022-01-24 12:18:50","2022-01-24 12:18:50",tw
315,75,"You have earned 25 coins for sharing an update on Twitter.",635,25,"2022-01-24 12:19:05","2022-01-24 12:19:05",tw
316,75,"You have earned 20 coins for sharing an update on LinkedIn.",655,20,"2022-01-24 12:19:18","2022-01-24 12:19:18",li
317,31,"You have earned 25 coins for sharing an update on Twitter.",50,25,"2022-01-24 15:46:05","2022-01-24 15:46:05",tw
318,90,"You have earned 30 coins for sharing an update on LinkedIn.",680,30,"2022-01-24 17:16:31","2022-01-24 17:16:31",li
319,59,"You have earned 20 coins for sharing an update on LinkedIn.",140,20,"2022-01-24 17:16:47","2022-01-24 17:16:47",li
320,94," Hey Friend, good you got 40 coins for the Responsive Page",550,40,"2022-01-24 21:01:38","2022-01-24 21:01:38",te
321,97," Hey Friend, good you got 50 coins for the Basic Web Page with HTML",270,50,"2022-01-24 21:03:13","2022-01-24 21:03:13",te
322,97," Hey Friend, good you got 50 coins for the Git hub Repo",320,50,"2022-01-24 21:03:21","2022-01-24 21:03:21",te
323,97," Hey Friend, good you got 50 coins for the Youtube contact us page",370,50,"2022-01-24 21:03:43","2022-01-24 21:03:43",te
324,97," Hey Friend, good you got 50 coins for the YouTube How it works page",420,50,"2022-01-24 21:04:33","2022-01-24 21:04:33",te
325,59,"You have earned 25 coins for sharing an update on Twitter.",165,25,"2022-01-24 21:10:09","2022-01-24 21:10:09",tw
326,93,"You have earned 25 coins for sharing an update on Twitter.",405,25,"2022-01-24 21:10:29","2022-01-24 21:10:29",tw
327,96,"You have earned 25 coins for sharing an update on Twitter.",460,25,"2022-01-24 21:10:48","2022-01-24 21:10:48",tw
328,59," Hey Friend,  you got 100 coins for referring your friends.",265,100,"2022-01-24 21:33:29","2022-01-24 21:33:29",rr
329,69," Hey Friend,  you got 100 coins for referring your friends.",400,100,"2022-01-24 21:34:15","2022-01-24 21:34:15",rr
330,59," Hey Friend, good you got 20 coins for the Twitter Profile",285,20,"2022-01-24 23:50:19","2022-01-24 23:50:19",te
331,54,"Coins removed for the late submission of Twitter Profile task",140,-10,"2022-01-25 03:00:01","2022-01-25 03:00:01",ptd
332,93,"You have earned 25 coins for sharing an update on Twitter.",430,25,"2022-01-25 10:49:35","2022-01-25 10:49:35",tw
333,73,"You have earned 20 coins for sharing an update on LinkedIn.",370,20,"2022-01-25 16:01:07","2022-01-25 16:01:07",li
334,100,"You have earned 20 coins for sharing an update on LinkedIn.",90,20,"2022-01-25 16:01:18","2022-01-25 16:01:18",li
335,54,"Coins removed for the late submission of Twitter Profile task",130,-10,"2022-01-26 03:00:01","2022-01-26 03:00:01",ptd
336,96,"Coins removed for the late submission of Responsive Page task",450,-10,"2022-01-26 03:00:01","2022-01-26 03:00:01",ptd
337,59,"You have earned 20 coins for sharing an update on LinkedIn.",305,20,"2022-01-26 10:11:19","2022-01-26 10:11:19",li
338,88,"You have earned 30 coins for sharing an update on LinkedIn.",295,30,"2022-01-26 16:18:39","2022-01-26 16:18:39",li
339,41,"You have earned 20 coins for sharing an update on LinkedIn.",365,20,"2022-01-26 18:49:15","2022-01-26 18:49:15",li
340,88,"You have earned 25 coins for sharing an update on Twitter.",320,25,"2022-01-26 18:49:41","2022-01-26 18:49:41",tw
341,96,"Coins removed for the late submission of Responsive Page task",440,-10,"2022-01-27 03:00:01","2022-01-27 03:00:01",ptd
342,75,"You have earned 25 coins for sharing an update on Twitter.",680,25,"2022-01-27 09:23:53","2022-01-27 09:23:53",tw
